created,username,source,text,retwc,hashtag,followers,friends,polarity,subjectivity
2021-06-12 11:11:13,Drif 'Pride Month!!' Indoril,Twitter for Android,I'm not going to stop talking about this but this is probably my must-watch anime this year. The animation looks go… https://t.co/kmG5fIHDpl,0,None,30,98,0.0,0.0
2021-06-12 11:11:12,穴吹 健児 / Kenji Anabuki @ Scarlet Nexus 6/24-25発売🐕,Twitter Web App,RT @Anime: #AD Unleash the Power of the Mind in SCARLET NEXUS. The highly anticipated action JRPG video game is set to release this month!…,7,AD,4650,174,-0.08,0.3466666666666667
2021-06-12 11:11:12,luffy11,Twitter Web App,"RT @TheOnePieceEra: Anime : One Piece

Most Underrated Character in One Piece 🤣 https://t.co/wHizqxG3lS",2072,None,4,257,0.5,0.5
2021-06-12 11:11:11,RULS Adwan,Twitter Web App,@Zuityy @jiraiyaIN i don't watch anime and idk any anime 😂,0,None,1854,338,0.0,0.0
2021-06-12 11:11:10,`,Twitter for Android,"RT @bblnct_: Hendery

Anime anime anime anime 

Recommend to me quickly 🤩🤩🤩

asap",136,None,5,160,0.3333333333333333,0.5
2021-06-12 11:11:10,Logan :0,Twitter for Android,"RT @Anime: Hey, Chuunibyou fans! Today is Rikka Takanashi’s birthday. Like, RT, and Comment to wish her a great one today! 🎂 https://t.co/4…",21,None,430,1544,1.0,0.75
2021-06-12 11:11:08,bobs&vagene🤤,Twitter for iPhone,@notPervySage if i dont watch anime i definitely dont watch incest porn cmon man you know those 2 go hand in hand 😂… https://t.co/nnVjglPCxQ,0,None,310,306,0.0,0.5
2021-06-12 11:11:05,luffy11,Twitter Web App,RT @TheOnePieceEra: Anime Vs Manga : One Piece https://t.co/Ip5NjrTGaa,1000,None,4,257,0.0,0.0
2021-06-12 11:11:03,rosie | semi ia!,Twitter for iPad,RT @luulubuu: I really hope they don't forget about this scene in the new castlevania anime https://t.co/gwgCChxaxQ,2617,None,67,498,0.16818181818181818,0.32727272727272727
2021-06-12 11:11:01,Hmmyes,Twitter Web App,@Anime I started Chuunibyou today!,0,None,1,57,0.0,0.0
2021-06-12 11:11:00,BatPlant🌛🌜,Twitter Web App,RT @saimbtw: Opening:                                Anime: https://t.co/m8hpIoVkMl,4481,None,636,591,0.0,0.0
2021-06-12 11:10:59,Thunder⚡️,Twitter for iPhone,"RT @kiravera8: some anime-like screenshots of Mana’s shiny smeargle, Julie! https://t.co/10Ps6jG51K",109,None,102,396,0.0,0.0
2021-06-12 11:10:59,AW1 is coming,Twitter for iPhone,every game is getting an anime it feels like the 90s again,0,None,138,250,-0.4,0.4
2021-06-12 11:10:59,"Black Mind | Misa,L,my beloveds",Twitter Web App,"@selflessmikasa tbh even tho I hate aot,I'm still manifesting aot highschool anime...and it'll be as an stand alone… https://t.co/VoxpsHzifw",0,None,141,118,-0.8,0.9
2021-06-12 11:10:57,‧͙⁺˚*Pal lvs Olib💤,Twitter for Android,"RT @AnimeContexts: Watching anime         Watching anime
when I was 6               now https://t.co/1aZMWjlte9",6492,None,252,246,0.0,0.0
2021-06-12 11:10:57,JesterX,Twitter for iPhone,"@wildrift Each champ story is very interesting, it would be amazing if there are 20min-40min anime about each champ… https://t.co/BbvD0ONSda",0,None,1,15,0.625,0.775
2021-06-12 11:10:57,thena ❅ | MITSUYA DAY ‼️🎉,Twitter for Android,@hangesfavtitan YES HOWEVER I REALLY LIKE MUTSUMI I'M JUST AN ANIME ONLY DOES HE HAVE A RED FLAG TOO??,0,None,347,435,0.06666666666666667,0.39999999999999997
2021-06-12 11:10:55,🔺commission soon🔻,Twitter for Android,"Moots its so random but lemme see your comfort anime and ur comfort character..

Lemme see how depress your were😀
H… https://t.co/i1uBIKu3XL",0,None,167,311,-0.2833333333333333,0.26666666666666666
2021-06-12 11:10:53,@ idk,Twitter for Android,RT @AnimesFeeIings: Gaming in anime 🎮 https://t.co/b0gaEFrS4Y,1175,None,0,26,0.0,0.0
2021-06-12 11:10:52,luffy11,Twitter Web App,RT @TheOnePieceEra: Anime : One Piece x SpongeBob https://t.co/smX3oNYUsO,9515,None,4,257,0.0,0.0
2021-06-12 11:10:51,nil💋,Twitter for iPhone,RT @NotVampy: Glassy sky prolly one of my favourite song that’s in a anime 💤,1,None,51,243,0.0,0.0
2021-06-12 11:10:51,Gwynbleidd,Twitter for iPhone,@Ll4MDUNBAR I loved the anime as A kid,0,None,22,232,0.7,0.8
2021-06-12 11:10:50,Dee,Twitter for iPhone,Trese is a good anime !!!,0,None,249,231,1.0,0.6000000000000001
2021-06-12 11:10:48,dazai osamu’s 🇵🇸,Twitter Web App,both manga and anime makes me cry🥲🥲🥲 https://t.co/ah0nn5J7PU,0,None,323,180,0.0,0.0
2021-06-12 11:10:48,luffy11,Twitter Web App,"RT @TheOnePieceEra: Anime : One Piece

Loyalty of the first mate 😔 https://t.co/782exVDfKG",699,None,4,257,0.25,0.3333333333333333
2021-06-12 11:10:45,Shirouchiha6 🇮🇳,Twitter for Android,"RT @HidenSazer: wait wut?? #AttackOnTitan is an indian movie ??? WtF 
#anime #MEMES #アニメ https://t.co/LzxX7jiizY",2,AttackOnTitan,194,430,-0.5,1.0
2021-06-12 11:10:45,nana 🍀,Twitter for Android,"RT @AnimeContexts: Watching anime         Watching anime
when I was 6               now https://t.co/1aZMWjlte9",6492,None,366,274,0.0,0.0
2021-06-12 11:10:45,nia🍑,Twitter for iPad,RT @animfeels: Anime: Your Name https://t.co/xxWhvin7bb,449,None,957,520,0.0,0.0
2021-06-12 11:10:44,Sir No Pants,Twitter Web App,"@NutTedKaczynski If you don't keep weirdos out of your anime plushie collection group, they might do something weir… https://t.co/JFO3xEzBHI",0,None,113,475,0.0,0.0
2021-06-12 11:10:41,Aera,Twitter Web App,@cyanIaser Mind-screwing. Like it's mostly recaps but there are many surprising changes compared to the original an… https://t.co/aWmQGeQc5k,0,None,324,282,0.51875,0.5625
2021-06-12 11:10:41,DieLemクレイジーシスター,Twitter Web App,virgings tweeting virgins how much they wanna fuck anime girls https://t.co/5UFOJivFT1,0,None,667,202,-0.1,0.4
2021-06-12 11:10:41,味方/Mikata,Twitter for Android,Is Osamake anime good? Art make me go 👀👀👀 but no idea about plot,0,None,201,1504,0.7,0.6000000000000001
2021-06-12 11:10:40,T–T,Twitter for iPhone,"RT @noranikoletta: Look, it's the Lore Man but anime 👀 Hope you guys like it, it took me some time ^^

#GEORGENOTFOUND #georgenotfoundfanar…",1585,GEORGENOTFOUND,14,78,0.0,0.0
2021-06-12 11:10:40,Random K-ON,RandomKon,Frame 10505 from Season 2 - Episode 2 『Clean-up!』 #けいおん #Kon #Anime https://t.co/rWBiKkPeKN,0,けいおん,2186,12,0.0,0.0
2021-06-12 11:10:40,Laxy,Twitter for iPhone,@XnBFN Fuck anime,0,None,82,369,-0.4,0.6
2021-06-12 11:10:36,X.Savior.inc,Twitter for iPhone,RT @animeroto: Anime fans felt this one https://t.co/BMnZzOTcJZ,514,None,51,153,0.0,0.0
2021-06-12 11:10:36,ฟมichiro 🦊 ῾D-15,Twitter Web App,"RT @Clandestein_Vox: Added music, SFX, and voices to @Glens_sou's Chainsaw Man animation! Please go support them!! (and hope they work on t…",1394,None,816,130,0.0,0.0
2021-06-12 11:10:36,k⁷ | stream 🧈,Twitter for Android,@shruburb read from chapter no 64 forst to present chapter. 1-63 is what's in the anime and it's word for word so y… https://t.co/RHS12TOs6d,0,None,1160,601,0.0,0.0
2021-06-12 11:10:34,K.KuRūRu$$,Twitter for Android,"@BreckinMathias I want Crash Bandicoot, but something tells me there is going to be a plot twist, an anime twist",0,None,173,348,0.0,0.0
2021-06-12 11:10:32,ᴮᴱAfza Afiqah⁷🧈,Twitter for Android,RT @anime_postt: Anime : Demon Slayer https://t.co/jHAJcBOjNz,199,None,141,67,0.0,0.0
2021-06-12 11:10:31,Shogi,Twitter Web App,RT @luulubuu: I really hope they don't forget about this scene in the new castlevania anime https://t.co/gwgCChxaxQ,2617,None,38,295,0.16818181818181818,0.32727272727272727
2021-06-12 11:10:30,punybane,Twitter for iPhone,"@joeda900 @EvanFilarca Garfield and anime, dayum pick a struggle homie. 😂",0,None,1,107,0.0,0.0
2021-06-12 11:10:26,sunnie/AC📌/ dm me if you can give a roblox rtd,Twitter for iPad,"@i_w4tch_anime u were the only one who entered 
lololol",0,None,372,98,0.0,1.0
